Effect_ID,Paper_ID,Disease_Prevalence,Unit_Prevalence,DiseasePrev_SE,SourcePrev,Year,Month,SourceYear,Location,SourceLocation,Region_HoeghGuldberg,Region_Kleypas,Lat,Lon,SourceLatLon,SST_C,SourceTemp,Notes
EI0220,CD040,0.256338,%,0.1177977,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"North Reef, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0221,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"South Island, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0222,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Washing Machine, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0223,CD040,0.715749,%,0.6714469,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Channel, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0224,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Ghost Beach, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0225,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Loomis Reef, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0226,CD040,0.515493,%,0.2473752,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Loomis Beach, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0227,CD040,1.7288092,%,1.6727273,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Palfrey, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0228,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Casuarina, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0229,CD040,1.5638924,%,0.7892446,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Horseshoe, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0230,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Little Vickys, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0231,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Mushroom, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0232,CD040,0,%,0,Figure 3a,2008/2009,Austral Summer,Materials and methods Study site and sampling design,"Vickies, Lizard Island, GBR","Figure 3a, Materials and methods Study site and sampling design",Western Pacific,Australia,-14.66667,145.45,"Materials and methods Study site and sampling design, GoogleMaps",,,"Black band disease; Prevalence extracted using MetaDigitise in Rstudio, n=3"
EI0233,CD041,2.7,%,,Figure 3a,1999,Jun,Methods p668,Little Cayman,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.684933,-80.077883,"Table 1 Mixing Bowl, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 73"
EI0234,CD041,6,%,,Figure 3a,2002,Jul-Aug,Methods p668,Little Cayman,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.684933,-80.077883,"Table 1 Mixing Bowl, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 41"
EI0235,CD041,4.6,%,,Figure 3a,2003,Jul-Aug,Methods p668,Little Cayman,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.684933,-80.077883,"Table 1 Mixing Bowl, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 36"
EI0236,CD041,6.75,%,,Figure 3a,2004,Jul-Aug,Methods p668,Little Cayman,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.684933,-80.077883,"Table 1 Mixing Bowl, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 88"
EI0237,CD042,0.02,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Shallow sites relative percent of diseased colonies
EI0238,CD042,0.02,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Shallow sites relative percent of diseased colonies
EI0239,CD042,0.32,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Shallow sites relative percent of diseased colonies
EI0240,CD042,2.97,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Shallow sites relative percent of diseased colonies
EI0241,CD042,0,%,0,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Shallow sites relative percent of diseased colonies
EI0242,CD042,0.02,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Deep sites relative percent of diseased colonies
EI0243,CD042,0.02,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Deep sites relative percent of diseased colonies
EI0244,CD042,0,%,0,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Deep sites relative percent of diseased colonies
EI0245,CD042,5.03,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Deep sites relative percent of diseased colonies
EI0246,CD042,0.07,%,,Table 3,2000,Aug,Materials and Methods p40,"Madrizqui Key, Los Roques Archipelago",Materials and Methods p40,Caribbean & Gulf of Mexico,Caribbean/Atlantic,11.936455,-66.677399,"Materials and Methods p40, GoogleMaps",,,Deep sites relative percent of diseased colonies
EI0247,CD043,8.6,%,3.3,Table 2,2003,Mar,Table 2,"South West Solitary Island, Solitary Islands Marine Park",Figure 1,Western Pacific,Australia,-30.159366,153.226769,"Figure 1, GoogleMaps",,,
EI0248,CD043,13.6,%,2.5,Table 2,2003,Jun,Table 2,"South West Solitary Island, Solitary Islands Marine Park",Figure 1,Western Pacific,Australia,-30.159366,153.226769,"Figure 1, GoogleMaps",,,
EI0249,CD043,7.7,%,1.1,Table 2,2003,Sep,Table 2,"South West Solitary Island, Solitary Islands Marine Park",Figure 1,Western Pacific,Australia,-30.159366,153.226769,"Figure 1, GoogleMaps",,,
EI0250,CD043,6.2,%,0.7,Table 2,2004,Mar,Table 2,"South West Solitary Island, Solitary Islands Marine Park",Figure 1,Western Pacific,Australia,-30.159366,153.226769,"Figure 1, GoogleMaps",,,
EI0036,CD044,3.56,%,,p1407,2014,Sep,p1407,"Vaan Island, Gulf of Mannar",p1407,Eastern Indian Ocean,Central Indian,8.83333,78.216667,"p1407, GoogleMaps",,,
EI0251,CD009,28.6,%,,Results p36,2002,Summer,Materials and methods Study site p35,"Akumal Bay, Quintana Roo, Mexican Caribbean",Materials and methods Study site p34,Caribbean & Gulf of Mexico,Caribbean/Atlantic,20.391256,-87.314722,GoogleMaps Akumal Bay,29.73,Table 1,18.4–41.5% 95% CI
EI0252,CD011,5.086207,%,2.465517,Figure 2,2007,Jan,p293,"Pedra de Leste, Abrolhos Bank, eastern Brazil",Figure 1,XXXX,Caribbean/Atlantic,-17.95966,-38.70108,GoogleMaps Abrolhos Marine National Park,27.4,p293,"Prevalence extracted using MetaDigitise in Rstudio, n = 4; This region is not recognized in Hoegh-Guldberg map"
EI0253,CD011,3.362069,%,1.931034,Figure 2,2007,Jul,p293,"Pedra de Leste, Abrolhos Bank, eastern Brazil",Figure 1,XXXX,Caribbean/Atlantic,-17.95966,-38.70108,GoogleMaps Abrolhos Marine National Park,27.4,p293,"Prevalence extracted using MetaDigitise in Rstudio, n = 4; This region is not recognized in Hoegh-Guldberg map"
EI0254,CD011,7.413793,%,2.465517,Figure 2,2007,Jan,p293,"Timbebas, Abrolhos Bank, eastern Brazil",Figure 1,XXXX,Caribbean/Atlantic,-17.95966,-38.70108,GoogleMaps Abrolhos Marine National Park,27.4,p293,"Prevalence extracted using MetaDigitise in Rstudio, n = 4; This region is not recognized in Hoegh-Guldberg map"
EI0255,CD011,1.327586,%,1.068966,Figure 2,2007,Jul,p293,"Timbebas, Abrolhos Bank, eastern Brazil",Figure 1,XXXX,Caribbean/Atlantic,-17.95966,-38.70108,GoogleMaps Abrolhos Marine National Park,27.4,p293,"Prevalence extracted using MetaDigitise in Rstudio, n = 4; This region is not recognized in Hoegh-Guldberg map"
EI0256,CD015,38.49206,%,,Figure 5,2010,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0257,CD015,41.66667,%,,Figure 5,2011,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0258,CD015,53.1746,%,,Figure 5,2012,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0259,CD015,20.63492,%,,Figure 5,2013,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0260,CD015,51.98413,%,,Figure 5,2014,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0261,CD015,53.57143,%,,Figure 5,2015,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0262,CD015,39.68254,%,,Figure 5,2016,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"BCA Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 64; paper includes SE in written material for some measurements, but not in graphs"
EI0263,CD015,78.96825,%,,Figure 6,2010,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0264,CD015,62.30159,%,,Figure 6,2011,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0265,CD015,68.65079,%,,Figure 6,2012,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0266,CD015,39.68254,%,,Figure 6,2013,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0267,CD015,55.95238,%,,Figure 6,2014,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0268,CD015,73.01587,%,,Figure 6,2015,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0269,CD015,72.22222,%,,Figure 6,2016,"Feb-Mar, Jun-Aug, Oct-Nov",Materials and Methods,"Scooter Patch, Southeast Florida",Materials and Methods,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.16632,-80.04526,"GoogleMaps Broward County, FL",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 62; paper includes SE in written material for some measurements, but not in graphs"
EI0270,CD045,0.38744467,col/m^2,0.743662,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"AtN reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0271,CD045,0.01818913,col/m^2,0.2704225,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"ES reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30; prevalence was calculated to be negative in Rstudio, reported as positive (such a small value)"
EI0272,CD045,7.95927565,col/m^2,5.0028169,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"IG reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0273,CD045,1.46913481,col/m^2,2.5690141,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"PR reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0274,CD045,1.30012072,col/m^2,1.5887324,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"UWS reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0275,CD045,0.6578672,col/m^2,0.8788732,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"WS reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0276,CD045,0.52265594,col/m^2,0.8112676,Figure 5a,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"YBD reef crest; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0277,CD045,0.88889,col/m^2,1.2592593,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"AtN reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0278,CD045,4.44E-16,col/m^2,0.1481481,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"ES reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0279,CD045,6.851852,col/m^2,6.0740741,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"IG reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0280,CD045,0.8518519,col/m^2,1.037037,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"PR reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0281,CD045,0.8518519,col/m^2,1.037037,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"UWS reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0282,CD045,0.2592593,col/m^2,0.44444,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"WS reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0283,CD045,0.22222,col/m^2,0.7777778,Figure 5b,2017,Oct,Material and Method Study sites p1235,"Ujung Kulon National Park, Banten, Indonesia",Figure 1,Eastern Indian Ocean,Southeast Asia,-6.673726,105.269252,"GoogleMaps Ujung Kulon National Park, Figure 1",,,"YBD reef slope; Prevalence extracted using MetaDigitise in Rstudio, n = 30"
EI0284,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Marker 32, Yanbu, Red Sea",Table 1,Western Indian Ocean,Middle East,23.8664,37.8913,Table 1,,,
EI0285,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Marker 35, Yanbu, Red Sea",Table 1,Western Indian Ocean,Middle East,23.8207,37.935,Table 1,,,
EI0286,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Abu Galaba, Yanbu, Red Sea",Table 1,Western Indian Ocean,Middle East,23.7891,37.9393,Table 1,,,
EI0287,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Fringing reef 1, Yanbu, Red Sea",Table 1,Western Indian Ocean,Middle East,24.1362,37.9396,Table 1,,,
EI0288,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Marker 10, Yanbu, Red Sea",Table 1,Western Indian Ocean,Middle East,24.0189,37.9666,Table 1,,,
EI0289,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Fringing reef 2, Yanbu, Red Sea",Table 1,Western Indian Ocean,Middle East,24.1452,37.9149,Table 1,,,
EI0290,CD020,0.05,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Abu Madafi, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.0766,38.7751,Table 1,,,
EI0291,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Al Fahal, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.1119,38.8411,Table 1,,,
EI0292,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Al-Mashpah, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.0772,38.7744,Table 1,,,
EI0293,CD020,0.01,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Inner Fsar, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.2358,39.0304,Table 1,,,
EI0294,CD020,0.02,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Shaab, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.2012,38.9992,Table 1,,,
EI0295,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Shi'b Nazar, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.3409,38.8521,Table 1,,,
EI0296,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Tahlah, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.275,39.0497,Table 1,,,
EI0297,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Qita al Kirsh, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.4257,38.9957,Table 1,,,
EI0298,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Um Alkthal, Thuwal, Red Sea",Table 1,Western Indian Ocean,Middle East,22.1653,38.9391,Table 1,,,
EI0299,CD020,0.21,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"La Plage, Jeddah, Red Sea",Table 1,Western Indian Ocean,Middle East,21.7092,39.0832,Table 1,,,
EI0300,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Abu Lath, Al-Lith, Red Sea",Table 1,Western Indian Ocean,Middle East,19.9554,40.1543,Table 1,,,
EI0301,CD020,0.03,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"South Reef, Al-Lith, Red Sea",Table 1,Western Indian Ocean,Middle East,19.89985,40.1514,Table 1,,,
EI0302,CD020,0,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Al-Lith 3, Al-Lith, Red Sea",Table 1,Western Indian Ocean,Middle East,19.8608,40.2282,Table 1,,,
EI0303,CD020,0.02,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Qita Al Kirsh, Al-Lith, Red Sea",Table 1,Western Indian Ocean,Middle East,20.1407,40.0931,Table 1,,,
EI0304,CD020,1.72,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Fringing reef 1, Al-Lith, Red Sea",Table 1,Western Indian Ocean,Middle East,20.1732,40.1613,Table 1,,,
EI0305,CD020,0.12,%,,Table 1,2015,Oct-Nov,Materials and Methods Black band disease surveys,"Whaleshark reef, Al-Lith, Red Sea",Table 1,Western Indian Ocean,Middle East,20.123,40.2118,Table 1,,,
EI0306,CD016,3.22,%,0.8,Table 1,2013,Mar,Materials and Methods Study locations p166,"Borendi, New Caledonia",Table 1,Western Pacific,Melanesia,-21.786667,166.465,Materials and Methods Study locations p166,,,pigmentation
EI0307,CD016,1.52,%,0.44,Table 1,2013,Mar,Materials and Methods Study locations p166,"Borendi, New Caledonia",Table 1,Western Pacific,Melanesia,-21.786667,166.465,Materials and Methods Study locations p166,,,growth anomoly
EI0308,CD016,1.07,%,0.47,Table 1,2013,Mar,Materials and Methods Study locations p166,"Borendi, New Caledonia",Table 1,Western Pacific,Melanesia,-21.786667,166.465,Materials and Methods Study locations p166,,,white syndrome
EI0309,CD016,11.1,%,2.7,Table 1,2013,Mar,Materials and Methods Study locations p166,"Kaala, New Caledonia",Table 1,Western Pacific,Melanesia,-20.615,164.315,Materials and Methods Study locations p166,,,pigmentation
EI0310,CD016,3.01,%,1.03,Table 1,2013,Mar,Materials and Methods Study locations p166,"Kaala, New Caledonia",Table 1,Western Pacific,Melanesia,-20.615,164.315,Materials and Methods Study locations p166,,,growth anomoly
