Effect_ID,Paper_ID,Transect_Type,Transect_Num,Transect_Length_m,Transect_Width_m,Plot_area_m^2,SourceTransect,Notes
EI0349,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0350,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0351,CD054,Belt,6,30,2,60,Materials and Methods p182,
EI0352,CD054,Belt,6,30,2,60,Materials and Methods p182,
EI0353,CD055,Belt,27,40,5,200,Materials and Methods Abundance and distribution of diseased corals p63,
EI0354,CD056,Belt,30,20,2,40,"Materials and Methods Study design p77, Figure 1",
EI0355,CD056,Belt,39,20,2,40,"Materials and Methods Study design p77, Figure 1",
EI0356,CD056,Belt,15,20,2,40,"Materials and Methods Study design p77, Figure 1",
EI0357,CD057,Belt,160,20,2,40,Materials and Methods Static and dynamic trends in the geographic distribution of coral disease p2-3,
EI0358,CD057,Belt,160,20,2,40,Materials and Methods Static and dynamic trends in the geographic distribution of coral disease p2-3,
EI0359,CD057,Belt,160,20,2,40,Materials and Methods Static and dynamic trends in the geographic distribution of coral disease p2-3,
EI0360,CD058,Belt,7,20,2,40,Methods,
EI0361,CD058,Belt,7,20,2,40,Methods,
EI0362,CD058,Belt,7,20,2,40,Methods,
EI0363,CD059,Line,5,30,,,Materials and Methods p2,
EI0364,CD059,Line,5,30,,,Materials and Methods p2,
EI0365,CD059,Line,5,30,,,Materials and Methods p2,
EI0366,CD059,Line,5,30,,,Materials and Methods p2,
EI0367,CD059,Line,5,30,,,Materials and Methods p2,
EI0368,CD059,Line,5,30,,,Materials and Methods p2,
EI0369,CD059,Line,5,30,,,Materials and Methods p2,
EI0370,CD060,Circle,27,20,,314,Materials and Methods p2-3,
EI0371,CD060,Circle,20,20,,314,Materials and Methods p2-3,
EI0372,CD060,Circle,28,20,,314,Materials and Methods p2-3,
EI0373,CD061,Belt,5,15,1.5,22.5,Materials and Methods,
EI0374,CD061,Belt,5,15,1.5,22.5,Materials and Methods,
EI0375,CD061,Belt,15,15,1.5,22.5,Materials and Methods,
EI0376,CD061,Belt,17,15,1.5,22.5,Materials and Methods,
EI0377,CD061,Belt,10,15,1.5,22.5,Materials and Methods,
EI0378,CD061,Belt,16,15,1.5,22.5,Materials and Methods,
EI0379,CD061,Belt,2,15,1.5,22.5,Materials and Methods,
EI0380,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0381,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0382,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0383,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0384,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0385,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0386,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0387,CD062,Belt,3,40,1,40,Materials and Methods Spatial patterns of Acroporid white syndrome,
EI0388,CD063,Belt,3,25,2,50,Materials and Methods 2.3 Live coral cover and disease prevalence,
EI0389,CD063,Belt,3,25,2,50,Materials and Methods 2.3 Live coral cover and disease prevalence,
EI0390,CD063,Belt,3,25,2,50,Materials and Methods 2.3 Live coral cover and disease prevalence,
,CD064,,3,,,,Materials and Methods Field survey of disease occurrence p3,
,CD064,,,,,,,
,CD064,,,,,,,
,CD064,,,,,,,
,CD064,,,,,,,
,CD064,,,,,,,
EI0391,CD065,Belt,"3, 5","20, 10",2,"40, 20",Material and Methods Field surveys and progression rate,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0392,CD065,Belt,"3, 5","20, 10",2,"40, 20",Material and Methods Field surveys and progression rate,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0393,CD065,Belt,"3, 5","20, 10",2,"40, 20",Material and Methods Field surveys and progression rate,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0394,CD066,Belt,"3, 5","20, 10",2,"40, 20",Materials and Methods Disease surveys p250,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0395,CD066,Belt,"3, 5","20, 10",2,"40, 20",Materials and Methods Disease surveys p250,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0396,CD066,Belt,"3, 5","20, 10",2,"40, 20",Materials and Methods Disease surveys p250,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0397,CD066,Belt,"3, 5","20, 10",2,"40, 20",Materials and Methods Disease surveys p250,"Two different transect sizes utilized at reef flats vs reef slope, but both included in this disease prevalence"
EI0398,CD066,Belt,5,10,2,20,Materials and Methods Disease surveys p250,
EI0399,CD066,Belt,5,10,2,20,Materials and Methods Disease surveys p250,
EI0400,CD066,Belt,5,10,2,20,Materials and Methods Disease surveys p250,
EI0401,CD066,Belt,5,10,2,20,Materials and Methods Disease surveys p250,
EI0402,CD066,Belt,5,10,2,20,Materials and Methods Disease surveys p250,
EI0403,CD066,Belt,5,10,2,20,Materials and Methods Disease surveys p250,
EI0404,CD067,Belt,5,10,2,20,Materials and Methods 2.1 Temporal and spatial variability of CYBD Incidence in M Faveolata p2,
EI0405,CD067,Belt,5,10,2,20,Materials and Methods 2.1 Temporal and spatial variability of CYBD Incidence in M Faveolata p2,
EI0406,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0407,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0408,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0409,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0410,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0411,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0412,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0413,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0414,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0415,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0416,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0417,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0418,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0419,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0420,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0421,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0422,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0423,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0424,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0425,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0426,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0427,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0428,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0429,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0430,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0431,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0432,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0433,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0434,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0435,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0436,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0437,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0438,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0439,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0440,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0441,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0442,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0443,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0444,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0445,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0446,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0447,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0448,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0449,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0450,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0451,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0452,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0453,CD068,Belt,12,10,2,20,Materials and Methods Temporal and spatial variability in prevalence of CYBD in O. faveolata and O. franski p85,
EI0454,CD069,Belt,2,25,2,50,Materials and Methods Survey method p22,
EI0455,CD069,Belt,2,25,2,50,Materials and Methods Survey method p22,
EI0456,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0457,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0458,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0459,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0460,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0461,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0462,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0463,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0464,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0465,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0466,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0467,CD070,Belt,40,20,4,80,Materials and Methods Field data collection p65,
EI0468,CD034,Line,80,30,1,30,Methods In situ sampling protocols p292,Assume 1 transect per site because not stated otherwise
,CD025,,,,,,,
EI0469,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0470,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0471,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0472,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0473,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0474,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0475,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0476,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0477,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0478,CD071,Belt,40,10,2,20,Materials and Method Prevalence and spatial distribution p60-61,
EI0479,CD072,Belt,8,30,1,30,Materials and Methods,
EI0480,CD072,Belt,8,30,1,30,Materials and Methods,
EI0481,CD072,Belt,8,30,1,30,Materials and Methods,
EI0482,CD072,Belt,8,30,1,30,Materials and Methods,
EI0483,CD073,Belt,2,25,1,25,Materials and Methods p214,
EI0484,CD073,Belt,2,25,3,75,Materials and Methods p214,
EI0485,CD073,Belt,2,25,3,75,Materials and Methods p214,
EI0486,CD073,Belt,2,25,3,75,Materials and Methods p214,
EI0487,CD073,Belt,2,25,3,75,Materials and Methods p214,
EI0488,CD073,Belt,2,25,3,75,Materials and Methods p214,
EI0489,CD073,Belt,2,25,3,75,Materials and Methods p214,
EI0490,CD074,Circle,5,5,,79,Materials and Methods Disease surveys p546,
EI0491,CD074,Circle,4,5,,79,Materials and Methods Disease surveys p546,
EI0492,CD074,Circle,4,5,,79,Materials and Methods Disease surveys p546,
EI0493,CD074,Circle,4,5,,79,Materials and Methods Disease surveys p546,
EI0494,CD075,Belt,64,22,1,22,Materials and Mtehods Coral monitoring surveys,
EI0495,CD075,Belt,88,22,1,22,Materials and Mtehods Coral monitoring surveys,
EI0496,CD075,Belt,88,22,1,22,Materials and Mtehods Coral monitoring surveys,
EI0497,CD075,Belt,88,22,1,22,Materials and Mtehods Coral monitoring surveys,
EI0498,CD075,Belt,88,22,1,22,Materials and Mtehods Coral monitoring surveys,
EI0499,CD076,Belt,30,25,2,50,Materials and Methods p24,
EI0500,CD076,Belt,30,25,2,50,Materials and Methods p24,
EI0501,CD077,Belt,6,50,2,100,Materials and Methods p164,
EI0502,CD077,Belt,6,50,2,100,Materials and Methods p164,
EI0503,CD078,Belt,33,10,1,10,Methods Sampling location and data collection,
EI0504,CD079,Belt,30,15,1,15,Methods 2.2. Coral cover and disease surveys,
,CD080,,,,,,,
EI0505,CD081,Belt,6,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0506,CD081,Belt,4,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0507,CD081,Belt,15,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0508,CD081,Belt,14,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0509,CD081,Belt,5,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0510,CD081,Belt,4,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0511,CD081,Belt,6,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0512,CD081,Belt,4,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0513,CD081,Belt,4,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0514,CD081,Belt,14,10,1,10,"Table 2, Materials and Methods Disease prevalence and coral mortality p3, Fall 2017 data collection p4",
EI0515,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0516,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0517,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0518,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0519,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0520,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0521,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0522,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0523,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0524,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0525,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0526,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0527,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0528,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0529,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0530,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0531,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0532,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0533,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0534,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0535,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0536,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0537,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0538,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0539,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0540,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0541,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0542,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0543,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0544,CD082,Belt,32,10,2,20,Materials and Methods Methods p223,
EI0545,CD083,Belt,54,20,0.5,10,Methods Coral dataset p444 ,didn't specify transect number so took avg of 4-8 and then multiplied by 9 sites
EI0546,CD083,Belt,18,20,0.5,10,Methods Coral dataset p444,didn't specify transect number so took avg of 4-8 and then multiplied by 3 sites
EI0547,CD083,Belt,54,20,0.5,10,Methods Coral dataset p444,didn't specify transect number so took avg of 4-8 and then multiplied by 9 sites
EI0548,CD083,Belt,30,20,0.5,10,Methods Coral dataset p444,didn't specify transect number so took avg of 4-8 and then multiplied by 5 sites
EI0549,CD083,Belt,30,20,0.5,10,Methods Coral dataset p444,didn't specify transect number so took avg of 4-8 and then multiplied by 5 sites
EI0550,CD083,Belt,24,20,0.5,10,Methods Coral dataset p444,didn't specify transect number so took avg of 4-8 and then multiplied by 4 sites
EI0551,CD084,Belt,18,15,2,30,Methods Coral health and community composition surveys,
EI0552,CD084,Belt,9,15,2,30,Methods Coral health and community composition surveys,
EI0553,CD084,Belt,6,15,2,30,Methods Coral health and community composition surveys,
EI0554,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0555,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0556,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0557,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0558,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0559,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0560,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0561,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0562,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0563,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0564,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0565,CD085,Belt,18,10,1,10,Material and Methods Field censuses,
EI0566,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0567,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0568,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0569,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0570,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0571,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0572,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0573,CD086,Line,1,10,1,10,Methods AGRRA surveys and disease monitoring p125,
EI0574,CD087,Belt,5,15,1,15,Materials and Methods,
EI0575,CD087,Belt,5,15,1,15,Materials and Methods,
EI0576,CD087,Belt,5,15,1,15,Materials and Methods,
EI0577,CD087,Belt,5,15,1,15,Materials and Methods,
EI0578,CD087,Belt,5,15,1,15,Materials and Methods,
EI0579,CD087,Belt,5,15,1,15,Materials and Methods,
EI0580,CD087,Belt,5,15,1,15,Materials and Methods,
EI0581,CD087,Belt,5,15,1,15,Materials and Methods,
EI0582,CD087,Belt,5,15,1,15,Materials and Methods,
EI0583,CD087,Belt,5,15,1,15,Materials and Methods,
EI0584,CD087,Belt,5,15,1,15,Materials and Methods,
EI0585,CD087,Belt,5,15,1,15,Materials and Methods,
EI0586,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0587,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0588,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0589,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0590,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0591,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0592,CD088,Belt,36,10,2,20,Methods Coral health assessments p3,
EI0593,CD089,Circle,22,10,,314,"Methods p162, Table 1",length is radius
,CD090,Line,18,,,,Materials and Methods Tumor frequency and distribution - field study p98,
EI0594,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0595,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0596,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0597,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0598,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0599,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0600,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0601,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0602,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0603,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0604,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0605,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0606,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0607,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0608,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0609,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0610,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0611,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0612,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0613,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0614,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0615,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0616,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0617,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0618,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0619,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0620,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0621,CD091,Belt,9,30,2,60,Methods Sampling and data analysis p620,
EI0622,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0623,CD091,Belt,3,30,2,60,Methods Sampling and data analysis p620,
EI0624,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0625,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0626,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0627,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0628,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0629,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0630,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0631,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0632,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0633,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0634,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0635,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0636,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0637,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0638,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0639,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0640,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0641,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0642,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0643,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0644,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0645,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0646,CD092,Belt,130,30,2,60,Materials and Methods Spatial patterns of coral cover and disease prevalence p81-82,
EI0647,CD093,Belt,6,20,0.6,12,Materials and Methods Methods p5,
EI0648,CD093,Belt,39,10,0.4,4,Materials and Methods Methods p5,
EI0649,CD093,Belt,6,20,0.6,12,Materials and Methods Methods p5,
EI0650,CD093,Belt,42,10,0.4,4,Materials and Methods Methods p5,
EI0651,CD093,Quadrat,3,50,2,100,Materials and Methods Methods p5,
EI0652,CD093,Circle,3,10,,314,Materials and Methods Methods p5,length is diameter
EI0653,CD094,Belt,6,10,2,20,Materials and Methods Transect methodology p10,
