Paper_ID,Author_First,Authors_Middle,Author_Last,Year_Published,Title,Journal,Volume,Issue,Pages,DOI,Completed,Requested,Received,WhomReq,Note
CD107,Shore-Maggio A,Callahan SM,Aeby GS,2018,"Trade-offs in disease and bleaching susceptibility among two color morphs of the Hawaiian reef coral, Montipora capitata",Coral Reefs,37,,507-517,10.1007/s00338-018-1675-0,0,,,,
CD108,Putchim L,Yamarunpattana C,Phongsuwan N,2012,Observations of coral disease in Porites lutea in the Andaman Sea following the 2010 bleaching,Phuket Marine Biology Center Research Bulletin,71,,57-62,,0,,,,
CD109,Thinesh T,Mathews G,Patterson Edward JK,2011,"Coral disease prevalence in the Palk Bay, Southeastern India - with special emphasis to black band",Indian Journal of Geo-Marine Sciences,40,6,813-820,,0,,,,
CD110,Siladharma IGB,0,Karim W,2017,Contribution of terrestrial runoff to coral disease prevalence on North Bali's massive Porites,Ilmu Kelautan,22,4,193-200,,0,,,,
CD111,Smith TB,"Brandt ME, Calnan JM, Nemeth RS, Blondeau J, Kadison E, Taylor M",Rothenberger P,2013,Convergent mortality responses of Caribbean coral species to seawater warming,Ecosphere,4,7,1-40,10.1890/ES13-00107.1,0,,,,
CD112,Sokolow SH,"Foley P, Foley JE, Hastings A",Richardson LL,2009,Disease dynamics in marine metapopulations: modelling infectious diseases on coral reefs,Journal of Applied Ecology,46,,621-631,10.1111/j.1365-2664.2009.01649.x,0,,,,
CD113,Sutherland KP,"Berry B, Park A, Kemp DW, Kemp KM, Lipp EK",Porter JW,2016,"Shifting white pox aetiologies affecting Acropora palmata in the Florida Keys, 1994-2014",Philosophical Transactions Royal Society B,371,,20150205,10.1098/rstb.2015.0205,0,,,,
CD114,Sweet M,"Burian A, Fifer J, Bulling M, Elliott D",Raymundo L,2019,"Compositional homogeneity in the pathobiome of a new, slow-spreading coral disease",Microbiome,7,,139,10.1186/s40168-019-0759-6,0,,,,
,Thangaradjou T,"Machendiranathan M, Ranith R, Senthilnathan L, Sasamal SK",Choudhury SB,2016,Coral disease prevalence in Gulf of Mannar and Lakshadweep Islands,Indian Journal of Geo-Marine Sciences,45,12,1755-1762,,0,number of transects,,,
CD115,Thinesh T,"Diraviya Raj K, Mathews G",Patterson Edward JK,2013,"Coral diseases are major contributors to coral mortality in Shingle Island, Gulf of Mannar, southeastern India",Diseases of Aquatic Organisms,106,,69-77,10.3354/dao02634,0,,,,
CD116,Voss JD,0,Richardson LL,2006,"Coral diseases near Lee Stocking Island, Bahamas: patterns and potential drivers",Diseases of Aquatic Organisms,69,,33-40,,0,,,,
,van Woesik R,0,Randall CJ,2017,Coral disease hotspots in the Caribbean,Ecosphere,8,5,e01814,10.1002/ecs2.1814,0,"years confounded, no sample area",,,
CD117,Williams GJ,"Knapp IS, Aeby GS",Davy SK,2011,"Spatial and temporal patterns of scleractinian coral, soft coral, and zoanthid disease on a remote, near-pristine coral reef (Palmyra Atoll, central Pacific)",Diseases of Aquatic Organisms,94,,89-100,10.3354/dao02323,0,,,,
CD118,Salimi MA,"Mostafavi PG, Fatemi SMR",Aeby GS,2017,"Health status of corals surrounding Kish Island, Persian Gulf",Diseases of Aquatic Organisms,124,,77-84,10.3354/dao03105,0,,,,
CD119,Croquer A,Bastidas C,Lipscomb D,2006,Folliculinid ciliates: a new threat to Caribbean corals?,Diseases of Aquatic Organisms,69,,75-78,,0,,,,
CD120,Croquer A,"Bastidas C, Lipscomp D, Rodriguez-Martinez RE, Jordan-Dahlgren E",Guzman HM,2006,First report of folliculinid ciliates affecting Caribbean scleractinian corals,Coral Reefs,25,,187-191,10.1007/s00338-005-0068-3,0,,,,
CD121,Gladfelter WB,0,0,1982,White-band disease in Acropora palmata: implications for the structure and growth of shallow reefs,Bulletin of Marine Science,32,2,639-643,,0,,,,
CD122,Grober-Dunsmore R,Bonito V,Frazer TK,2006,"Potential inhibitors to recovery of Acropora palmata populations in St John, US Virgin Islands",Marine Ecology Progress Series,321,,123-132,,0,,,,
CD123,Kenyon JC,Dunlap MJ,Aeby GS,2008,Community structure of hermatypic corals at Kure Atoll in the Northwestern Hawaiian Islands: stemming the shifting baseline,Atoll Research Bulletin,559,,,,0,,,,
CD021,Muller EM,0,van Woesik R,2011,"Black-band disease dynamics: prevalence, incidence, and acclimatization to light",Journal of Experimental Marine Biology and Ecology,397,,52-57,10.1016/j.jembe.2010.11.002,0,prevalence,,,
,Machendiranathan M,"Ranith R, Senthilnathan L, Saravanakumar A",Thangaradjou T,2020,"Resilience of coral recruits in Gulf of Mannar Marine Biosphere Reserve (GOMMBR), India",Regional Studies in Marine Science,34,,101055,,0,,,,
